Equivalent series; Alfred Stieglitz, Stieglitz
Spring Showers; Alfred Stieglitz, Stieglitz
Hands and Thimble; Alfred Stieglitz, Stieglitz
Winter—Fifth Avenue; Alfred Stieglitz, Stieglitz
The Steerage; Alfred Stieglitz, Stieglitz
Mezzetin; Jean-Antoine Watteau, Antoine Watteau, Watteau
The Surprise; Jean-Antoine Watteau, Antoine Watteau, Watteau
Gersaint’s Shop Sign; Jean-Antoine Watteau, Antoine Watteau, Watteau
The Embarkation for Cythera; Jean-Antoine Watteau, Antoine Watteau, Watteau
Migration series; Jacob Lawrence, Lawrence
Song of the Towers; Aaron Douglas, Douglas
Aspects of Negro Life series; Aaron Douglas, Douglas
