Penguin Island; Anatole France, France
Les Miserables; Victor Hugo, Hugo
Pride and Prejudice; Jane Austen, Austen
Ulysses; James Joyce, Joyce
Moby Dick; Herman Melville, Melville
The Metamorphosis; Franz Kafka, Kafka
A Tale of Two Cities; Charles Dickens, Dickens
The Picture of Dorian Gray; Oscar Wilde, Wilde
The Count of Monte Cristo; Alexandre Dumas, Dumas
Siddhartha; Hermann Hesse, Hesse
Great Expectations; Charles Dickens, Dickens
The Divine Comedy; Dante Alighieri, Dante
The Importance of Being Earnest; Oscar Wilde, Wilde
The Yellow Wallpaper; Charlotte Perkins Gilman, Charlotte Gilman, Gilman
Wuthering Heights; Emily Bronte, Bronte
Dracula; Bram Stoker, Stoker
Frankenstein; Mary Wollstonecraft Shelley, Mary Shelley, Shelley
Emma; Jane Austen, Austen
Treasure Island; Robert Louis Stevenson, Robert Stevenson, Stevenson
War and Peace; Leo Tolstoy, Tolstoy
Gulliver's Travels; Jonathan Swift, Swift
Sense and Sensibility; Jane Austen, Austen
Jane Eyre; Charlotte Bronte, Bronte
Heart of Darkness; Joseph Conrad, Conrad
The Brothers Karamazov; Fyodor Dostoyevsky, Dostoyevsky
A Christmas Carol; Charles Dickens, Dickens
Dubliners; James Joyce, Joyce
The Awakening; Kate Chopin, Chopin
Robinson Crusoe; Daniel Defoe, Defoe
Oliver Twist; Charles Dickens, Dickens
Persuasion; Jane Austen, Austen
Anna Karenina; Leo Tolstoy, Tolstoy
Middlemarch; George Eliot, Eliot, Mary Ann Evans, Mary Evans, Evans
Faust; Johann Wolfgang von Goethe, Johann von Goethe, Goethe
A Connecticut Yankee in King Arthur's Court; Mark Twain, Twain, Samuel Langhorne Clemens, Samuel Clemens, Clemens
The Great Gatsby; F Scott Fitzgerald, F. Scott Fitzgerald, Fitzgerald, Francis Scott Key Fitzgerald, Francis Scott Fitzgerald, Francis Fitzgerald
A Portrait of the Artist as a Young Man; James Joyce, Joyce
Lolita; Vladimir Nabokov, Nabokov
Brave New World; Aldous Huxley, Huxley
The Sound and the Fury; William Faulkner, William Cuthbert Faulkner, Faulkner
Catch-22; Joseph Heller, Heller
Darkness at Noon; Arthur Koestler, Koestler
Sons and Lovers; D. H. Lawrence, David Herbert Lawrence, D.H. Lawrence, DH Lawrence, D H Lawrence, David Lawrence, Lawrence
The Grapes of Wrath; John Steinbeck, Steinbeck
Under the Volcano; Malcolm Lowry, Lowry
The Way of All Flesh; Samuel Butler, Butler
1984; George Orwell, Orwell, Eric Arthur Blair, Eric Blair, Blair
I, Claudius; Robert Graves, Graves
To the Lighthouse; Virginia Woolf, Woolf
An American Tragedy; Theodore Dreiser, Dreiser
The Heart is a Lonely Hunter; Carson McCullers, McCullers
Slaughterhouse-Five; Kurt Vonnegut, Vonnegut
Invisible Man; Ralph Ellison, Ellison
Native Son; Richard Wright, Wright
Henderson the Rain King; Saul Bellow, Bellow
